epoch,train_loss,train_raw_loss,train_acc,train_confidence,val_loss,val_raw_loss,val_acc,val_confidence
1,1.7176654743618436,1.5658838418324788,0.424,0.3843219884236654,1.6002540607452393,1.3900263166427613,0.487,0.4863852348327637
2,1.4048680429458618,1.1714949755138822,0.5841111111111111,0.5137118411593967,1.7588743000030518,1.5257176504135133,0.448,0.6060637168884278
3,1.2656087916692098,0.995541049639384,0.6492222222222223,0.5683618414137098,1.9427869529724122,1.713723032951355,0.428,0.5823586807250977
4,1.1962125090493096,0.9073590319951376,0.6913333333333334,0.6030169351365832,1.200388177871704,0.927543839931488,0.692,0.5923961944580078
5,1.120068149778578,0.812057253519694,0.7248888888888889,0.6282318522135417,1.2223344230651856,0.9167495121955872,0.665,0.6406957321166992
6,1.0682506008148194,0.7466101217269897,0.7557777777777778,0.6506373608907063,1.2985853500366211,1.0104762425422669,0.632,0.6295674819946289
7,1.0355465970569186,0.7068289333979288,0.7728888888888888,0.6659903466966417,1.5854607572555541,1.3097435970306397,0.543,0.6609257507324219
8,0.9928902018864949,0.6527783839967516,0.7937777777777778,0.6814960185156929,1.3244013175964355,1.0163957471847533,0.638,0.6742537078857422
9,0.9634776170518663,0.616982263882955,0.8104444444444444,0.6912213412390815,1.6013176736831665,1.343489161491394,0.54,0.6602809295654297
10,0.931549009958903,0.5775547635290358,0.8212222222222222,0.708125483194987,1.37337393283844,1.0865675077438355,0.62,0.639599479675293
11,0.8990032442410787,0.5369090297487047,0.8414444444444444,0.7175181310441759,1.6274833526611328,1.3095444660186768,0.575,0.7067234954833984
12,0.8665692578421699,0.4971003437572055,0.8568888888888889,0.7303922763400608,1.215298973083496,0.92503515625,0.675,0.6515623245239258
13,0.8537788195080227,0.48037603659100003,0.8648888888888889,0.7412451782226562,1.732920006752014,1.4203660125732422,0.543,0.7442670669555664
14,0.812286490811242,0.4309331407546997,0.89,0.7547278289794922,1.28056463432312,0.9806338806152344,0.652,0.6779426498413086
